action,project_id,file_ext,file_size,file_name,rel_path,reason,existing_ids,job_id
missing,GVF,.pdf,503701,"GEMSWELL VENTURES, S.L.U M. 200 2024.pdf","0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/Impostos/200/GEMSWELL VENTURES, S.L.U M. 200 2024.pdf",no source_hash or title/project match; enqueued,,e8baae17-c05d-4b88-a6f7-4692674ef6a3
missing,GVF,.pdf,239326,127 GEMSWELL VENTURES 092025_Prev.Pagos.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Altre doc. comptable/Ordres Pagament/127 GEMSWELL VENTURES 092025_Prev.Pagos.pdf,no source_hash or title/project match; enqueued,,2892a30f-673e-4f44-b609-9b6f70309d4f
missing,GVF,.pdf,214162,20250709_Pago urgente Emilio Sanchez-Carpintero_ GEMSWELL.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Altre doc. comptable/Pagos urgentes/20250709_Pago urgente Emilio Sanchez-Carpintero_ GEMSWELL.pdf,no source_hash or title/project match; enqueued,,5cef5e97-3a9e-497c-b695-4b02f7cd7e38
missing,GVF,.pdf,195145,20250905_Pago urgente_evento empresa_Gemswell.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Altre doc. comptable/Pagos urgentes/20250905_Pago urgente_evento empresa_Gemswell.pdf,no source_hash or title/project match; enqueued,,c06affea-f470-494a-b91e-1948a3dd9e5e
missing,GVF,.pdf,194946,20250908_Pago urgente_evento empresa 2_rev1_GEMSWELL.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Altre doc. comptable/Pagos urgentes/20250908_Pago urgente_evento empresa 2_rev1_GEMSWELL.pdf,no source_hash or title/project match; enqueued,,43215d0f-ce77-4883-93d0-3db159436756
missing,GVF,.pdf,185256,20251023_Pago Urgente CESCE_Gemswell.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Altre doc. comptable/Pagos urgentes/20251023_Pago Urgente CESCE_Gemswell.pdf,no source_hash or title/project match; enqueued,,a1b87a50-4a7a-4bbf-927b-f59440466d2a
missing,MAD,.pdf,685231,25-99-001 20250429 MPS Mkt Ene Abr_Gemswell.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/25-99-001 20250429 MPS Mkt Ene Abr_Gemswell.pdf,no source_hash or title/project match; enqueued,,10dce3a5-a63c-47bf-935c-bff350024492
missing,MAD,.pdf,698089,25-99-002 20250527 MPS mktg Mayo_Gemswell Vent.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/25-99-002 20250527 MPS mktg Mayo_Gemswell Vent.pdf,no source_hash or title/project match; enqueued,,000a9aaa-70e0-42ac-9a08-aa62403c807f
missing,MAD,.pdf,698424,25-99-003 20250626 MPS mktg Junio_Gemswell Vent.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/25-99-003 20250626 MPS mktg Junio_Gemswell Vent.pdf,no source_hash or title/project match; enqueued,,5c3646ab-81b2-49de-9faf-64b18503e97a
missing,MAD,.pdf,692076,25-99-005 20250729 MPS COSTES CMO JULIO AGOSTO_GEMSWELL.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/25-99-005 20250729 MPS COSTES CMO JULIO AGOSTO_GEMSWELL.pdf,no source_hash or title/project match; enqueued,,fd20c2c8-6fbf-418b-b40c-9c3b3520407d
missing,MAD,.pdf,699487,25-99-007 20250915 MPS Mktg Sept_Gemswell.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/25-99-007 20250915 MPS Mktg Sept_Gemswell.pdf,no source_hash or title/project match; enqueued,,c96d0614-975e-4866-9ae7-c8c4df59ec79
missing,MAD,.pdf,691475,25-99-008 MPS CMO SEPT_GEMSWELL.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/25-99-008 MPS CMO SEPT_GEMSWELL.pdf,no source_hash or title/project match; enqueued,,061b418c-6222-4e59-ae59-1bd0d05e3c02
missing,MAD,.pdf,691494,25-99-009 MPS CMO OCT_GEMSWELL.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/25-99-009 MPS CMO OCT_GEMSWELL.pdf,no source_hash or title/project match; enqueued,,a9bfd911-c944-4909-aa37-184d6304ad0b
missing,MAD,.pdf,691876,25-99-010 MPS KPMG_GEMSWELL.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/25-99-010 MPS KPMG_GEMSWELL.pdf,no source_hash or title/project match; enqueued,,2158ef2d-8547-431f-90c5-8aa70ea25c45
missing,GVF,.pdf,152252,25-99-06.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/25-99-06.pdf,no source_hash or title/project match; enqueued,,f370c178-53e7-4a86-be00-d98bd3f27021
missing,GVF,.pdf,513663,7._JULIO_MPS-GWV_HOJA_DE_ENCARGO.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/7._JULIO_MPS-GWV_HOJA_DE_ENCARGO.pdf,no source_hash or title/project match; enqueued,,44103a90-186a-4f93-9103-8a4592eda64f
missing,GVF,.pdf,523041,8._AGOSTO_MPS-GWV_HOJA_DE_ENCARGO_.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Factures/Facures Emeses/8._AGOSTO_MPS-GWV_HOJA_DE_ENCARGO_.pdf,no source_hash or title/project match; enqueued,,887d5f61-bb2d-49a1-a00f-31139719e954
missing,GVF,.pdf,29443,20250630_Gemswell recibo de presentacion alta actividad.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Impostos/036/20250630_Gemswell recibo de presentacion alta actividad.pdf,no source_hash or title/project match; enqueued,,840eb2d1-3e44-446d-a758-470453cd43cb
